epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5908,1.39665,2.33379,1.71469,0.77495,0.46785,0.56371,0.26734,1.55822,2.51839,2.17554,0.000548543,0.000548543,0.000548543
2,37.1858,1.38338,1.79526,1.66491,0.51207,0.55249,0.49737,0.22704,1.8432,2.54432,2.46386,0.00108235,0.00108235,0.00108235
3,53.2829,1.41002,1.65977,1.69321,0.45503,0.3709,0.3366,0.1473,2.01714,2.37497,3.0864,0.00159414,0.00159414,0.00159414
4,69.3256,1.43019,1.55577,1.68322,0.67844,0.51793,0.57645,0.23294,1.9752,2.00714,2.89904,0.00156798,0.00156798,0.00156798
5,85.2431,1.37346,1.44174,1.64541,0.49003,0.46304,0.42414,0.16822,1.83295,2.10781,2.33089,0.00153497,0.00153497,0.00153497
6,101.4,1.34454,1.31896,1.62122,0.73655,0.6315,0.68861,0.37412,1.49438,1.42672,1.98084,0.00150197,0.00150197,0.00150197
7,117.341,1.36658,1.30831,1.61175,0.76414,0.69482,0.76282,0.4091,1.50478,1.37545,2.01341,0.00146896,0.00146896,0.00146896
8,133.209,1.30316,1.23222,1.59679,0.696,0.73704,0.73299,0.4262,1.43181,1.36044,1.88149,0.00143595,0.00143595,0.00143595
9,149.019,1.33344,1.24439,1.59906,0.74077,0.70683,0.76735,0.41603,1.54185,1.26635,1.95112,0.00140295,0.00140295,0.00140295
10,164.797,1.30753,1.19531,1.57677,0.55296,0.59398,0.5374,0.2701,1.64167,1.634,2.07035,0.00136994,0.00136994,0.00136994
11,180.509,1.25717,1.13738,1.55883,0.7429,0.78425,0.79133,0.47017,1.3448,1.15123,1.80754,0.00133693,0.00133693,0.00133693
12,196.188,1.27562,1.13809,1.53369,0.8742,0.75108,0.83111,0.4918,1.41114,1.11238,1.85007,0.00130393,0.00130393,0.00130393
13,211.88,1.24504,1.10946,1.53915,0.82922,0.78094,0.83143,0.49961,1.31441,1.03211,1.74084,0.00127092,0.00127092,0.00127092
14,227.536,1.24446,1.08047,1.52193,0.79493,0.78532,0.82037,0.51054,1.25862,1.13448,1.71407,0.00123791,0.00123791,0.00123791
15,243.044,1.21793,1.08114,1.51956,0.77624,0.76156,0.82195,0.52812,1.24172,1.075,1.68325,0.00120491,0.00120491,0.00120491
16,258.792,1.23213,1.06733,1.51813,0.80506,0.74937,0.82582,0.52716,1.23385,1.01894,1.67815,0.0011719,0.0011719,0.0011719
17,274.542,1.21144,1.03712,1.49343,0.83216,0.74137,0.83037,0.5179,1.26969,1.00813,1.72212,0.00113889,0.00113889,0.00113889
18,290.356,1.18885,1.01641,1.49603,0.8471,0.7865,0.84214,0.52886,1.26003,0.9449,1.6973,0.00110589,0.00110589,0.00110589
19,305.988,1.19118,1.01125,1.4857,0.73651,0.78294,0.81772,0.51516,1.2,1.10696,1.63228,0.00107288,0.00107288,0.00107288
20,321.623,1.18837,1.02144,1.47727,0.8311,0.80748,0.85582,0.54855,1.20323,0.95349,1.63362,0.00103987,0.00103987,0.00103987
21,337.301,1.13731,0.9735,1.46148,0.82821,0.76861,0.8698,0.54621,1.2227,0.958,1.67454,0.00100687,0.00100687,0.00100687
22,352.875,1.16638,0.97454,1.48272,0.823,0.82349,0.86295,0.55494,1.17835,0.91924,1.6366,0.000973861,0.000973861,0.000973861
23,368.446,1.16098,0.99076,1.46095,0.86373,0.76501,0.85443,0.55375,1.1907,0.8874,1.64899,0.000940855,0.000940855,0.000940855
24,383.973,1.14343,0.94072,1.46358,0.83612,0.82309,0.86358,0.55736,1.18355,0.94446,1.61572,0.000907848,0.000907848,0.000907848
25,399.591,1.15105,0.93149,1.45561,0.85147,0.83562,0.8819,0.5823,1.15724,0.85241,1.60628,0.000874842,0.000874842,0.000874842
26,415.187,1.15894,0.92725,1.44707,0.81742,0.81145,0.8845,0.57342,1.16062,0.89578,1.60496,0.000841835,0.000841835,0.000841835
27,430.711,1.12537,0.92499,1.44331,0.84947,0.81919,0.87408,0.56049,1.20656,0.85853,1.65043,0.000808828,0.000808828,0.000808828
28,446.18,1.12895,0.91133,1.44411,0.84618,0.82713,0.88177,0.58791,1.13774,0.84216,1.57383,0.000775822,0.000775822,0.000775822
29,461.711,1.11813,0.90993,1.42875,0.86583,0.8026,0.88667,0.59154,1.16592,0.83367,1.60216,0.000742815,0.000742815,0.000742815
30,477.245,1.13662,0.90204,1.44977,0.84455,0.81355,0.88642,0.59325,1.12298,0.81104,1.54999,0.000709809,0.000709809,0.000709809
31,492.662,1.1132,0.90044,1.42178,0.88806,0.81323,0.89246,0.59989,1.11425,0.787,1.54124,0.000676802,0.000676802,0.000676802
32,508.044,1.07841,0.86056,1.41796,0.83984,0.82448,0.87329,0.59134,1.12234,0.81546,1.54233,0.000643795,0.000643795,0.000643795
33,523.368,1.08675,0.84752,1.41561,0.88933,0.81124,0.89783,0.60995,1.12151,0.77182,1.53606,0.000610789,0.000610789,0.000610789
34,538.852,1.10551,0.87137,1.4181,0.8573,0.83574,0.89718,0.61512,1.07797,0.77546,1.51742,0.000577782,0.000577782,0.000577782
